Title,Plan Number,Plan,Plan Version,Amount,Effective,Ended,Per,Comment,Rate Type,Dwelling,1 BR Unit,2 BR Unit,3 BR Unit,4+BR Unit,Trips,Work in progress,Strikeout,Applies to,AppliesTo,1ET,BaseRate,BaseRateDate,1ETBaseRate,BaseRateDwelling,CombinedForLookup,ChargeControl,ChargeMultiplier,Overrides,Autotext
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10","1,092","24/06/2009 12:00 AM","22/12/2009 12:00 AM","Person",,"Base rate","2.4",,,,"1.95",,,,"[""Residential""]","Residential","2,621",,,,,"2009-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10","234","24/06/2009 12:00 AM","22/12/2009 12:00 AM","Person","where developer dedicates and embellishes passive open space","Base rate","2.4",,,,"1.95",,,,"[""Residential; Tourist""]","Residential, Tourist","562",,,,,"2009-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10","953.33","24/06/2009 12:00 AM","22/12/2009 12:00 AM","Person","where developer does not dedicate and embellish passive open space","Base rate","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","2,288",,,,,"2009-1-Casual open space",,,,
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1","1,043","23/12/2009 12:00 AM","30/06/2012 12:00 AM","Person",,"Base rate","2.4",,,,"1.95",,,,"[""Residential""]","Residential","2,503",,,,,"2009-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1","224","23/12/2009 12:00 AM","30/06/2012 12:00 AM","Person","where developer dedicates and embellishes passive open space","Base rate","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","538",,,,,"2009-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1","2,184","23/12/2009 12:00 AM","30/06/2012 12:00 AM","Lot","where developer does not dedicate and embellish passive open space","Base rate","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","5,242",,,,,"2009-1-Casual open space",,,,
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.1","1,061","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Person",,"Indexed","2.4",,,,"1.95",,,,"[""Residential""]","Residential","2,546",,,,,"2012-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.1","225","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Person","where developer dedicates and embellishes passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","540",,,,,"2012-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.1","2,198","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Lot","where developer does not dedicate and embellish passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","5,275",,,,,"2012-1-Casual open space",,,,
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.2","1,083","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Person",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential""]","Residential","2,599",,,,,"2013-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.2","231","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Person","where developer dedicates and embellishes passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","554",,,,,"2013-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.2","2,258","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Lot","where developer does not dedicate and embellish passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","5,419",,,,,"2013-1-Casual open space",,,,
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.3","1,092","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Person",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential""]","Residential","2,621",,,,,"2014-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.3","234","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Person","where developer dedicates and embellishes passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","562",,,,,"2014-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.3","2,285","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Lot","where developer does not dedicate and embellish passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","5,484",,,,,"2014-1-Casual open space",,,,
