ID,Number,Title,Web Link,Current Version,Current Version Status,Current Version Adopted,Current Version Effective,Current Version Indexed,Current Version Discontinued,Version in progress,New Version Status,New version status date,New Version Description,Job Number,Link to latest notice,Latest Notice Date,Owner,Advise Minister,ECM Link,Network Link,External Stakeholders,Plan Number,Key Stakeholders,Other Stakeholders,Plan Set,Strategic Review Status,Strategic Review Status Date,Strategic Review Flag,Strategic Review Notes,CascadeGoal,CascadeGoalLink,Next Action,wpValue,wpValueDate,PlanStart,PlanFinish,wpCompletedValue,wpCompletedDate,CurrentBalance,CurrentBalanceDate,Informed By,PlanOwner,ApplicationNotes,_Item Type,_Path
1,6,Section 94 Plan No 6 - Street Trees,https://www.tweed.nsw.gov.au/Controls/Planning/Documents/PlanningDocs/s94-6.pdf,Version 3.0.1,Adopted,15/12/2009,23/12/2009,,17/07/2009,3.0.1,Adopted,15/12/2009 0:00,Includes note advising that plan ceased to be in effect from 17 July 2009,A3118.0749.34860,,,Stewart Brawley;#40,FALSE,,,,6.00,,,,,,,,,,,,,,,,,,,,,,Item,prac/infrastructure/Lists/S94 Plans
2,10,Contribution Plan No 10 - Cobaki Lakes,Plan Online,Version 4.0.7,Adopted,15/11/2012,28/11/2012,01/07/2020,,Version 4.0.8,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,Version 4.0.7 applies indexation to the contribution rates in accordance with the plan.,A5206.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed%20Link%20788.pdf,28/11/2012,Stewart Brawley;#40,FALSE,,,,10.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583,CP10 Plan,"Discussed at ELT meeting 23/10/2019 focussing on works program age and inconsistency with current strategic requirements, includes LIbrary component that may be better incorporated into the shirewide plan, CP 11.
",23/10/2019,TRUE,"Excludes land cost and is for Comm Facilities and assumes land dedicated free of charge total value of WP is $9,287,000 (PM 10/4/20)
",6032,https://tweed.executestrategy.net/user/goals/6032,"Asset owner to update Cascade status, including addition of Works Program and any commitments.

 ",,,,,,," $1,620 ",31/03/2021,"
SGS Whole of Shire Cultural and Community Facilities Plan 2007 replaced by Community Facilities Plan 2019
",Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
3,16,Section 94 Plan No 16 - Emergency Facilities (Surf Lifesaving),https://www.tweed.nsw.gov.au/Controls/Planning/Documents/PlanningDocs/S94-16.pdf,Version 6,Adopted,17/11/2009,25/11/2009,,31/12/2009,Version 6,Adopted,17/11/2009 0:00,"Version 6 (Amendment No 5):
• Revises the works program, taking account of outstanding works and expenditure to date.
• Reverts to original apportionment factors.
• Adjusts the occupancy rates per bedroom to those adopted by Council in the Tweed Shire Urban Release Strategy 2009.
• Applies the current Department of Planning Template for a S94 plan.
• Standardises the contribution for tourist development to apply per bedroom rather than per bed.
• Revises the admin component for the remaining works from 10% to 5%.
• Includes note at 2.4 that no contributions will be levied after 31 December 2009.",A2065.0749.34860,,,Stewart Brawley;#40,FALSE,,,,16.00,,,,,,FALSE,,0,no link,,,,,,,,"-$109,956 ",31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
4,23,Contribution Plan No 23 - Offsite Parking,Plan Online,Version 2.4.7,Adopted,18/04/2013,02/05/2013,01/07/2020,,Version 2.4.8,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,Version 2.4 amends the plan in accordance with Council's Business Investment Policy.,A4859.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed Link 807.pdf,02/05/2013,Danny Rose;#19,FALSE,,,,23.00,David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Clark;#89;#Ray Musgrave;#583,CP23 Plan,"Status provided by Danny at ELT 23/10/2019.  Summary of where parking is over/undersupplied.  Planning to review this plan.
",23/10/2019,,"Plan sets arate per space in various CBD areas but which includes land but no sites identified.It estimates number of spaces to be paid for per annum. Plan expired ?
",6041,https://tweed.executestrategy.net/user/goals/6041,"Asset owner to update Cascade status, including addition of Works Program and any commitments (see CP 26 as an example).Review Plan.",,,,,,,"-$1,732,966 ",31/03/2021,,Danny Rose;#75,,Item,prac/infrastructure/Lists/S94 Plans
5,11,Contribution Plan No 11 - Tweed Shire Library Facilities,Plan Online,Version 3.0.8,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 3.0.9,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 3.0.8 - applies indexation for July 2019.
 
Version 4: Adjusts the plan period to 2011-2031;Updates the population base for the 2006 census and catchment forecasts to 2031 for newly identified works;Adjusts existing library building size, projected floorspace and floorspace shortfalls;Updates building construction cost/m2 and parking cost/m2;Removes the provision for 'buyback' should the Kingscliff library be sold, as it is no longer intended;includes provision for a new mobile library serving Tweed Shire locations only, including growth areas;revises the works program, resulting in a contribution rate of $244.54 per person, or $587 per lot.
",A2284.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,,FALSE,,,jcarmody@rtrl.nsw.gov.au,11.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137;#Helen Carter;#1075,Infrastructure Coordination Committee;#133;#Lindsay McGavin;#84;#Colleen Forbes;#251;#Denise Galle;#44;#Ray Musgrave;#583;#Jacqueline Batchelor;#368;#Gabby Arthur;#319,CP11 Plan,"Discussed at ELT meeting 23/10/2019.  Robyn and Kim spoke about the need to engage someone to undertake a comprehensive review both libraries and community facilities given changing needs, expectations and standards, to inform amendment and/or replacement of all plans which include these items.  
",23/10/2019,TRUE,,6033,https://tweed.executestrategy.net/user/goals/6033,"
Robyn/Tracey to discuss which of them should be listed as the 'asset owner' of this plan.  Note that Stewart's involvement is drawing to a close as open space required by this plan has been provided by the developer.
Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,,,,,"-$1,368,171 ",31/03/2021,"Tweed Shire 2000+ Strategic Plan; Library Strategy Plan ___?yr; Kingscliff Centre Study and Community Facilities Plan 2019
",Helen Carter;#1075,,Item,prac/infrastructure/Lists/S94 Plans
6,26,Contribution Plan No 26 - Shirewide Regional Open Space,Plan Online,Version 4.0.9,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 4.0.10,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 4:
* Amends works program with regard to Arkinstall Park, Coastline Landscape Strategy, and 7 year plan.  
*  Updates population in accordance with DoP 2005 'Preferred Series' growth from 2006-2031 (35,731 persons).
*  Occupancy rates amended to apply per bedroom in accordance with Tweed Shire Urban Land Release Strategy 2009
*  Applies latest DoP Template for a S94 Plan
*  Includes CDC Schedule",A2924.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,Stewart Brawley;#40,FALSE,,,,26.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583,CP26 Plan,"Status provided by Stewart at ELT 23/10/2019.
",23/10/2019,,,4332,https://tweed.executestrategy.net/user/goals/4332,"Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,,,,,"-$5,284,146 ",31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
7,5,Contribution Plan No 5 - Local Open Space,Plan Online,Version 7.0.6,Adopted,17/10/2013,04/12/2013,01/07/2020,,Version 7.0.7,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 7:Removes CP 27 - Tweed Heads Master Plan from the exclusion list, ie this plan will now apply to the CP 27 area.Updates the works program/contribution.Change the term 'dwelling house' to 'detached dwelling house' to align with terminology in Council's other S94 Plans.
",A5204.0749.34860,http://www.tweed.nsw.gov.au/Controls/TweedLink/Documents/Tweed%20Link%20838.pdf,04/12/2013,Stewart Brawley;#40,FALSE,,,,5.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583,CP05 Plan,"Status provided by Stewart Brawley at ELT meeting 23/10/2019.  Priority of open space funded out of this plan is set by Council Resolution and will soon be informed by the Open Space strategy when adopted.  Project to discover available land is planned. No significant issues.
",23/10/2019,,"Note that Works program items from Version 1 of this plan may have been removed by the time of the 2009 review.  Population projection period in the current plan was determined in 2009, and runs from 2006 to 2031.

Total includes Casual and Structured (abt 50/50) (PM 10/4/20)
",5981,https://tweed.executestrategy.net/user/goals/5981,"
Asset owner to update Cascade status, including addition of Works Program and any commitments. ",,,02/06/1993,31/12/2031,,,"-$1,059,840 ",31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
8,15,Contribution Plan No 15 - Developer Contributions for Community Facilities,Plan Online,Version 6.0.9,Adopted,21/09/2010,29/09/2010,01/07/2020,,Version 6.0.10,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 6:
• Incorporates the SGS Facilities Plan 2007 report findings;
• Extends area covered to whole of Shire (excluding Cobaki Lakes, Kings Forest and Casuarina);
• Updates the construction cost per square metre to $3,453.
• Revises works program, which results in a contribution of $544 per person or $1,305.60 per ET (see Section 1.1 of draft plan for more detail).",A5921.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_681_web.pdf,29/09/2010,,FALSE,,,,15.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Kim Wilson;#446;#Lindsay McGavin;#84,CP15 Plan,"Discussed at ETL meeting 23/10/2019 in conjunction with discussion about Libraries and community facilities components of area-specific plans.  Roby and Kim spoke about the need to engage someone to undertake a comprehensive review of both libraries and community facilities given changing needs, expectations and standards, to inform amendment and/or replacement of all plans which include these items.
",23/10/2019,FALSE,"See new CFP 2019 note no sites selected in existing plan but some alowance for land purchase (PM 10/4/20)
",6036,https://tweed.executestrategy.net/user/goals/6036,"
Robyn/Tracey to discuss which of them should be listed as the 'asset owner' of this plan.  Note that Stewart's involvement is drawing to a close as open space required by this plan has been provided by the developer.
Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,,,,,"-$2,811,487 ",31/03/2021,"SGS Whole of Shire Cultural and Community Facilities Plan 2007 replaced by Community Facilities Plan 2019
",Helen Carter;#1075,,Item,prac/infrastructure/Lists/S94 Plans
9,19,Contribution Plan No 19 - Casuarina Beach/Kings Forest,Plan Online,Version 5.0.8,Adopted,15/03/2011,23/03/2011,01/07/2020,,Version 5.0.9,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 5  
*  incorporates the findings of the SGS Community Facilities Plan with regard to Kings Forest;
*  revises the works program for community facilities which results in an updated contribution cost per person  of $897.",A1103.2018.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_703_web.pdf#page=3,23/03/2011,Robyn Grigg;#927;#Danny Rose;#19;#Stewart Brawley;#40,FALSE,http://ecmserver:8080/dwroot/datawrks/views/subject/14/3136/links?applyfilter=1,file://tweed1/dfs/eng/Planning & Infrastructure Unit/Contribution Plans/cp 19 - Casuarina Beach Kings Forest,,19.00,Michael Chorlton;#48,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Kim Wilson;#446;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Clark;#89;#Ray Musgrave;#583,CP19 Plan,"Status provided at ELT meeting 23/10/2019.  Danny advised that cycleways were no longer included in this plan, although funds previously collected remained to be expended.  Update 29/4/2020: Paul Morgan and the Plan Review Working Group has commenced analysing plan in detail to use as a blueprint for future plan update process.",29/04/2020,TRUE,,6038,https://tweed.executestrategy.net/user/goals/6038,"Asset owners (Danny, Robyn, Stewart) to update Cascade status, including addition of Works Program and any commitments (see CP 26 as an example).Plan Expenditure for the last 10 years to be provided by Paul Drew and reviewed by Paul Morgan/Stewart Brawley/working group.Status of Kings Forest Master Plan to be ascertained, Plan program/works on the ground to be matched to contributions plan."," $6,466,662 ",30/06/2019,16/12/1998,,,,"-$1,794,755 ",31/03/2021,"SGS Whole of Shire Cultural and Community Facilities Plan 2007 replaced by Community Facilities Plan 2019
",Helen Carter;#1075;#Danny Rose;#75;#Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
10,12,Contribution Plan No 12 - Bus Shelters,Plan Online,Version 1.3.8,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 1.3.9,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 3:
• Updates the cost of providing a bus shelter to 2009 levels.
• Fully apportions the cost to all urban residential development.
• Makes reference to forthcoming changes to the EP&A Act with reference to S94 and addresses part 116D regarding the 5 key considerations for a S94 Plan.
• Adjusts the occupancy rates per bedroom to those adopted by Council in the Tweed Shire Urban Release Strategy 2009.
• Applies the current Department of Planning Template for a S94 plan.
• Revises the admin component from 10% to 5%. ",A5633.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,Danny Rose;#19,FALSE,,,,12.00,David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Clark;#89;#Ray Musgrave;#583;#Stephen Sharp;#640,CP12 Plan,"Status provided by Danny Rose at ELT meeting 23/10/2019.  Plan review is planned.
",23/10/2019,,"No defined Works Program but specifies 4 shelters per 2200 people at $13.5 k each.No Plan finish date. (PM10/4/20)
",6034,https://tweed.executestrategy.net/user/goals/6034,"Asset owner to update Cascade status, including addition of Works Program and any commitments.Review Plan.",,,,,,,"-$204,614 ",31/03/2021,,Danny Rose;#75,,Item,prac/infrastructure/Lists/S94 Plans
